Benchmark,Strategy,Sampling time,Coverage,Approx coverage
FM-361.cnf,3,1.1417318344116212,3151.0,3151.0
FM-361.cnf,5,0.2409719705581665,3151.0,3151.0
XSEngine.cnf,3,12.380583643913269,2964242.3,2964209.9
XSEngine.cnf,5,2.392995524406433,2963603.6,2963931.6
aaed2000.cnf,3,14.902871942520141,3065688.1,3065842.4
aaed2000.cnf,5,3.269472861289978,3064631.4,3064212.0
adder.cnf,3,12.266033911705017,3028443.6,3028261.9
adder.cnf,5,2.972996950149536,3028021.8,3027845.2
adderII.cnf,3,12.7924485206604,3048025.5,3047885.9
adderII.cnf,5,2.9613441228866577,3049695.4,3049487.4
aeb.cnf,3,14.372902011871338,2711737.1,2711535.7
aeb.cnf,5,2.6398754835128786,2711914.9,2711796.1
aim711.cnf,3,14.00754165649414,2977116.9,2976880.8
aim711.cnf,5,2.761880087852478,2976228.3,2975822.3
aki3068net.cnf,3,12.232687163352967,2714739.0,2715083.7
aki3068net.cnf,5,2.3571478605270384,2716153.8,2715849.9
am31_sim.cnf,3,12.748312783241271,2507944.9,2508039.3
am31_sim.cnf,5,2.0945726871490478,2509766.2,2509652.5
asb.cnf,3,13.53331491947174,2800015.4,2799429.2
asb.cnf,5,2.643969440460205,2799506.0,2799051.5
asb2305.cnf,3,14.410273241996766,2831407.0,2831355.2
asb2305.cnf,5,2.4096640586853026,2833975.6,2834194.5
assabet.cnf,3,15.426826643943787,2928239.8,2928355.5
assabet.cnf,5,2.9806573390960693,2929369.9,2929666.3
at91sam7sek.cnf,3,15.712847566604614,3060102.4,3059909.5
at91sam7sek.cnf,5,3.0517596006393433,3061483.8,3061658.4
at91sam7xek.cnf,3,15.407603764533997,3202687.3,3202800.9
at91sam7xek.cnf,5,2.569172406196594,3205870.8,3206187.1
atlas_mips32_4kc.cnf,3,10.777158427238465,2752784.0,2752915.2
atlas_mips32_4kc.cnf,5,2.3098365306854247,2754692.3,2754729.5
atlas_mips64_5kc.cnf,3,20.679246854782104,2723550.5,2723797.7
atlas_mips64_5kc.cnf,5,9.422500157356263,2722208.9,2722316.3
axtls.cnf,3,5.330300807952881,16211.6,16211.6
axtls.cnf,5,4.440144753456115,16212.0,16212.0
brutus.cnf,3,13.190028500556945,2745208.8,2744375.9
brutus.cnf,5,2.775524377822876,2744465.2,2744627.9
buildroot.cnf,3,2.891771340370178,621209.2,621251.9
buildroot.cnf,5,1.4584070920944214,621218.5,621210.6
busybox_1_28_0.cnf,3,3.6363475799560545,1964900.6,1964915.7
busybox_1_28_0.cnf,5,2.33946430683136,1964930.8,1965057.3
calm16_ceb.cnf,3,12.135597515106202,2542927.8,2542943.3
calm16_ceb.cnf,5,2.5513416051864626,2543448.4,2543779.9
calm32_ceb.cnf,3,13.073840665817261,2540213.4,2540209.0
calm32_ceb.cnf,5,2.504060244560242,2543484.7,2543481.2
ceb_v850.cnf,3,13.161512088775634,2621703.8,2621857.7
ceb_v850.cnf,5,2.5200875282287596,2624055.5,2623766.1
cerf.cnf,3,12.988447046279907,3011611.0,3011566.1
cerf.cnf,5,2.608581209182739,3011766.3,3012032.8
cerfpda.cnf,3,13.706834506988525,3084411.9,3084552.3
cerfpda.cnf,5,1.6622548341751098,3082775.4,3082999.1
cma230.cnf,3,23.815227389335632,2707486.4,2707141.0
cma230.cnf,5,8.932607913017273,2706215.2,2705866.6
cma28x.cnf,3,13.284204387664795,2685229.0,2685220.2
cma28x.cnf,5,2.100189709663391,2684863.2,2685401.6
cme555.cnf,3,14.734098434448242,2974856.3,2975206.8
cme555.cnf,5,1.8689928293228149,2971856.6,2971977.2
cq7708.cnf,3,15.162793970108032,2822551.0,2822775.3
cq7708.cnf,5,3.756603407859802,2824193.7,2824351.6
cq7750.cnf,3,15.262590384483337,2933778.7,2933862.9
